x_ref,y_ref
0.22,0
0.44,0
0.66,0
0.88,0
1.1,0
1.32,0
1.54,0
1.76,0
1.98,0
2.2,0
2.42,0
2.64,0
2.86,0
3.08,0
3.3,0
3.52,0
3.74,0
3.96,0
4.18,0
4.4,0
4.62,0
4.84,0
5.06,0
5.28,0
5.5,0
5.72,0
5.94,0
6,0.16
6,0.38
6,0.6
6,0.82
6,1.04
6,1.26
6,1.48
6,1.7
6,1.92
5.86,2
5.64,2
5.42,2
5.2,2
4.98,2
4.76,2
4.54,2
4.32,2
4.1,2
3.88,2
3.66,2
3.44,2
3.22,2
3,2
2.78,2
2.56,2
2.34,2
2.12,2
1.9,2
1.68,2
1.46,2
1.24,2
1.02,2
0.800000000000001,2
0.580000000000001,2
0.360000000000001,2
0.140000000000001,2
0,2.08
0,2.3
0,2.52
0,2.74
0,2.96
0,3.18
0,3.4
0,3.62
0,3.84
0.060000000000001,4
0.280000000000001,4
0.500000000000001,4
0.720000000000001,4
0.940000000000001,4
1.16,4
1.38,4
1.6,4
1.82,4
2.04,4
2.26,4
2.48,4
2.7,4
2.92,4
3.14,4
3.36,4
3.58,4
3.8,4
4.02,4
4.24,4
4.46,4
4.68,4
4.9,4
5.12,4
5.34,4
5.56,4
5.78,4
6,4
