t,v,w
41,0.237498247901193,-0.000780833709081
41.2,0.20626453912885,-0.000715736927607
41.4,0.175694614884342,-0.000591419410848
41.6,0.15410320139679,-0.000490246037914
41.8,0.126525030265431,-0.000359552552654
42,0.097704797243991,-0.0002044829076
42.2,0.07126808688873,-3.34506253677596E-05
42.4,0.048615895928916,0.000126468338721
42.6,0.030471906948664,0.000272504593633
42.8,0.016661661484508,0.000399036459392
43,0.006872417743442,0.00051212295209
43.2,0.0006678947899,0.00060645725259
