t,x1,y1,theta1,x2,y2,theta2,gamma,v,w,x_ref,y_ref
0.0,1.0800017055552233,-2.366576173310625e-16,1.883999242808474e-05,0.020001705607353204,0.0,-5.220720793324687e-06,-2.4060713221409426e-05,0.100008528036766,9.41999621404237e-05,0.22,0.0
0.20000000000000004,1.120005241122404,7.536663071467509e-07,1.1524649259616295e-05,0.060005241139394816,-2.0884728976053003e-07,-2.0339225695746447e-06,-1.355857182919094e-05,0.200017677923245,-3.65767158423422e-05,0.44,0.0
0.4000000000000001,1.1745897908569733,1.3827340978659358e-06,1.0863656929416624e-05,0.11458979087092735,-3.1986803740971676e-07,-9.590830824592112e-07,-1.1822740011875834e-05,0.27292274869362,-3.30496165099836e-06,0.66,0.0
0.6000000000000001,1.2393562777875626,2.086334988822094e-06,6.059269896781662e-05,0.17935627828900824,-3.819844798027246e-07,-1.381686901904829e-05,-7.440956798686491e-05,0.323832436437062,0.000248645210192,0.88,0.0
0.8000000000000002,1.3118107054465165,6.476544349549276e-06,-9.277441259983401e-06,0.2518107055165764,-1.3830778107199049e-06,1.2040281506356879e-05,2.131772276634028e-05,0.36227214315419,-0.000349350701139,1.1,0.0
1.0000000000000002,1.3909561207911412,5.742277461920844e-06,-0.00012987966140978345,0.3309561235137097,-4.301446980500881e-07,4.342740266453753e-05,0.00017330706407432098,0.395727087147659,-0.000603011100749,1.32,0.0
1.2000000000000002,1.4758985305117245,-5.290014040460596e-06,-0.000123278660744718,0.41589853249574915,3.2586835024277376e-06,2.3861920913803796e-05,0.00014714058165852178,0.424712053004473,3.30050033253273e-05,1.54,0.0
1.4000000000000004,1.5649608784893156,-1.6269501076133015e-05,-0.00016412829539651797,0.5049608817432725,5.3838822369730695e-06,1.939292103568512e-05,0.0001835212164322031,0.445311744272738,-0.000204248173259,1.76,0.0
1.6000000000000003,1.6567379765235861,-3.133271996342861e-05,-0.00010977870135351796,0.5967379780152108,7.163708218082363e-06,-1.5960634845154974e-05,9.381806650836299e-05,0.458885500644071,0.000271747970215,1.98,0.0
1.8000000000000003,1.7512959662397107,-4.171317329142651e-05,-0.00021105324671231795,0.6912959713630412,5.6545026144388946e-06,1.4151451537286084e-06,0.00021246839186604656,0.472789957953491,-0.000506372726794,2.2,0.0
2.0000000000000004,1.8471554177117262,-6.194462223585174e-05,-0.00013666789357931795,0.7871554206535494,5.790157649541541e-06,-4.373634273683954e-05,9.293155084247841e-05,0.479297275446652,0.000371926765665,2.42,0.0
2.2000000000000006,1.944635983068364,-7.526708585610853e-05,-0.0001336668327177179,0.8846359864005436,1.526714213131511e-06,-5.548244416787812e-05,7.818438854983977e-05,0.487402831626539,1.50053043080003e-05,2.64,0.0
2.4000000000000004,2.042616300362477,-8.836380481847127e-05,1.8801266686282106e-05,0.9826163051511062,-3.909473357075553e-06,-0.00010696219634731393,-0.00012576346303359604,0.489901609712899,0.00076234049702,2.86,0.0
2.6000000000000005,2.1412504441672606,-8.650935795608966e-05,3.617385420678394e-07,1.0812504473017117,-1.4459597876571835e-05,-8.690718076505433e-05,-8.726891930712217e-05,0.493170720141165,-9.21976407210713e-05,3.08,0.0
2.8000000000000007,2.2404118816539995,-8.647348755726219e-05,0.00016268387984426792,1.1804118908200822,-2.307743939504303e-05,-0.00012146185615570569,-0.0002841457359999736,0.495807205061704,0.000811610706511,3.3,0.0
3.0000000000000004,2.3399432348350677,-7.028134079157709e-05,0.00028992789302506795,1.2799432507444355,-3.51667031766075e-05,-0.00012264825582137179,-0.00041257614884643973,0.497656781803613,0.000636220065904,3.52,0.0
3.2000000000000006,2.4392501771197344,-4.148948753901358e-05,0.00043217160908386794,1.379250203869745,-4.734652782943348e-05,-0.00011270171915989895,-0.0005448733282437669,0.496534744131658,0.000711218580294,3.74,0.0
3.400000000000001,2.538359882984844,1.3429156321249317e-06,0.000676120194926268,1.4783599410669808,-5.851636564433963e-05,-0.0001152389782170968,-0.0007913591731433648,0.495548609835051,0.001219742929212,3.96,0.0
3.6000000000000005,2.638197226755476,6.884496157309313e-05,0.0013442879048422682,1.5781974520482571,-7.002153844848976e-05,-0.00020520436887376436,-0.0015494922737160324,0.499187106454103,0.00334083854958,4.18,0.0
3.8000000000000007,2.739241682814602,0.00020467778793364997,0.0028499612196694678,1.6792426949726078,-9.075646404151855e-05,-0.0004338023524037252,-0.003283763572073193,0.505224148779381,0.007528366574136,4.4,0.0
4.000000000000001,2.8424108708532594,0.000498706149842621,0.005597730826720267,1.782414731393353,-0.0001355127389505994,-0.0007870512590835961,-0.0063847820858038635,0.515852635424819,0.013738848035254,4.62,0.0
4.200000000000001,2.9504835919276404,0.0011036713099135662,0.010176352829829469,1.8904961231859958,-0.00022057835200912956,-0.0012244233080905872,-0.011400776137920055,0.540384522509439,0.022893110015546,4.84,0.0
4.400000000000001,3.062276825261008,0.0022413534154472076,0.015135756427084469,2.0023036391419957,-0.0003574781489793324,-0.0010629634480523447,-0.016198719875136814,0.559009307016691,0.024797017986275,5.06,0.0
4.6000000000000005,3.1769677372413896,0.003977424704401051,0.01929319627023967,2.1170105423003034,-0.00047940744019817836,2.370154999590114e-05,-0.01926949472024377,0.573532641624932,0.020787199215776,5.28,0.0
4.800000000000001,3.2940105866369938,0.006235867311585241,0.02172060355164747,2.2340666160135174,-0.0004766330298142212,0.0020688621192791173,-0.019651741432368353,0.585335248966735,0.012137036407039,5.5,0.0
